"LTER_site","local_site","year","collect_date","plot_num","fert","veg_class","snow","snow_recovery","USDA_Symbol","hits","simple_name","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"2LTR",9,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"ARSC",2,"Artemisia scopulorum","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"CAHEE",0.1,"Carex heteroneura","Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.","different-nerve sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"CARO2",0.1,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"CARUD",14,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"DRAU",0.1,"Draba aurea","Draba aurea Vahl ex Hornem.","golden draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"ERNA",1,"Eritrichium nanum","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"GERO2",10,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"KOMY",29,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"LLSE",6,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"MIOB2",1,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"NOFEG",2,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"ORALA",2,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"PHPU5",0.1,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"POBI6",1,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"POVI3",4,"Polygonum viviparum","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"SELA",1,"Sedum lanceolatum","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"SIACS2",0.1,"Silene acaulis","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"TEGR3",0.1,"Tetraneuris grandiflora","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"TRDA2",15,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-15",1,"CC","DM",0,0,"VIAD",1,"Viola adunca","Viola adunca Sm.","hookedspur violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"2BARE",1,"Bare Ground",NA,"Bare Ground",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"2LTR",9,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"CARO2",1,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"CARUD",10,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"ERSI3",1,"Erigeron simplex","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"GERO2",14,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"KOMY",10,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"LLSE",0.1,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"MELA3",0.1,"Mertensia lanceolata","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"NOFEG",4,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"ORALA",17,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"PHPU5",1,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"POBI6",0.1,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"SEDES",1,"Selaginella densa","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",2,"CC","DM",0,0,"TRDA2",31,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",3,"CC","DM",0,0,"2LICHN",4,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",3,"CC","DM",0,0,"2LTR",10,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",3,"CC","DM",0,0,"2RF",2,"Rock, fragments",NA,"Rock, fragments",NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence",1997,"1997-07-16",3,"CC","DM",0,0,"CAHEE",1,"Carex heteroneura","Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.","different-nerve sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
